term,category
Women in the Mormon sacred books,ChangeHeadingLCSH
Word recognition,ProblemLCSH
World music,ProblemLCSH
"World War, 1939-1945--Gays",ChangeHeadingLCSH
Xangô (Cult),CancelHeadingLCSH
Yaka language (Congo and Angola),ChangeHeadingLCSH
Yellow peril,CancelHeadingLCSH
"Yipu Yuan (Suzhou, Jiangsu Sheng, China)",ChangeHeadingLCSH
Zaṅs-mdog-dpal-ri (Buddhism),ChangeHeadingLCSH
"Zhuo Zheng Yuan (Suzhou, Jiangsu Sheng, China)",ChangeHeadingLCSH
Zion (Mormon Church),ChangeHeadingLCSH
Zoroastrianim,CancelHeadingLCSH
ʾBroṅ-pa (Tibetan people),ChangeHeadingLCSH
